age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augmentation_salaire_precedente_pourcent,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
27,M,2024,Divorce,Consulting,AssistantdeDirection,6,6,2,2,4,3,1,2,4,1,3,Non,0.18,Non,1,1,9,3,TransformationDigitale,Aucun,2,2
28,M,2713,Marie,Consulting,AssistantdeDirection,1,5,5,2,3,3,1,4,3,1,3,Non,0.11,Non,1,2,21,3,TransformationDigitale,Occasionnel,0,2
57,M,9439,Divorce,Consulting,Manager,3,12,5,3,3,4,3,4,2,1,3,Oui,0.16,Non,1,2,24,2,InfraCloud,Occasionnel,1,4
27,M,2566,Divorce,Consulting,AssistantdeDirection,1,1,1,1,3,2,1,3,4,2,3,Oui,0.15,Non,1,2,3,3,TransformationDigitale,Aucun,0,1
50,F,19926,Celibataire,Consulting,SeniorManager,3,21,5,4,3,3,5,2,2,3,3,Non,0.15,Non,0,5,11,3,InfraCloud,Occasionnel,4,4
41,M,2451,Divorce,Consulting,AssistantdeDirection,4,13,9,8,1,3,1,3,1,3,3,Non,0.12,Non,1,2,14,3,InfraCloud,Occasionnel,1,8
30,F,9419,Marie,Commercial,CadreCommercial,2,12,10,9,2,3,3,4,3,3,3,Non,0.12,Non,1,2,5,3,InfraCloud,Occasionnel,7,4
38,F,8686,Celibataire,Commercial,CadreCommercial,4,12,8,3,1,2,2,4,3,4,4,Non,0.22,Non,0,2,1,4,InfraCloud,Occasionnel,0,7
32,M,3038,Celibataire,Consulting,AssistantdeDirection,3,8,5,4,3,3,1,3,1,3,4,Non,0.2,Non,0,2,6,5,InfraCloud,Occasionnel,1,4
27,M,3058,Marie,Consulting,AssistantdeDirection,0,6,5,2,3,3,1,2,4,2,3,Oui,0.16,Non,1,3,17,3,Entrepreunariat,Occasionnel,1,1
19,F,2325,Celibataire,Commercial,ReprésentantCommercial,0,1,0,0,3,1,1,1,1,4,4,Non,0.21,Oui,0,5,1,1,Entrepreunariat,Frequent,0,0
36,M,2088,Celibataire,Consulting,Consultant,4,13,8,7,4,3,1,2,3,2,3,Non,0.12,Non,0,3,3,2,TransformationDigitale,Frequent,7,2
30,M,3072,Divorce,Consulting,Consultant,1,12,12,9,3,3,2,1,3,3,3,Non,0.11,Non,2,4,9,3,TransformationDigitale,Aucun,6,10
45,F,5006,Divorce,Commercial,CadreCommercial,4,9,5,4,3,3,2,1,1,4,3,Oui,0.11,Non,1,3,4,2,InfraCloud,Occasionnel,0,3
56,F,4257,Divorce,Consulting,AssistantdeDirection,4,19,2,2,3,3,1,1,3,3,3,Oui,0.18,Non,1,3,8,3,InfraCloud,Occasionnel,2,2
33,M,2500,Celibataire,Consulting,AssistantdeDirection,0,4,3,1,3,3,1,4,1,4,3,Non,0.14,Non,0,2,2,3,InfraCloud,Occasionnel,0,2
19,M,1102,Celibataire,Consulting,Consultant,1,1,1,0,2,2,1,4,3,2,4,Non,0.22,Oui,0,3,2,3,InfraCloud,Occasionnel,1,0
46,F,10453,Divorce,Commercial,CadreCommercial,1,24,24,13,2,3,3,1,3,3,4,Non,0.25,Non,3,2,1,2,Marketing,Occasionnel,15,7
38,F,2288,Celibataire,Consulting,Consultant,1,2,2,2,3,3,1,4,3,3,3,Non,0.12,Non,0,3,9,2,InfraCloud,Occasionnel,2,1
31,F,3929,Marie,Consulting,AssistantdeDirection,8,7,4,2,3,3,1,4,3,3,4,Oui,0.23,Non,1,0,12,1,TransformationDigitale,Occasionnel,0,2
34,F,2311,Celibataire,Consulting,AssistantdeDirection,2,9,3,2,4,3,1,2,4,3,3,Non,0.15,Non,0,3,27,2,TransformationDigitale,Occasionnel,1,2
41,F,3140,Celibataire,Commercial,ReprésentantCommercial,1,4,4,3,2,3,1,2,4,2,4,Oui,0.22,Oui,0,5,20,2,Marketing,Occasionnel,0,2
50,M,3690,Marie,Consulting,Consultant,2,5,3,2,3,2,1,3,4,2,3,Non,0.15,Non,1,2,1,3,TransformationDigitale,Occasionnel,0,2
53,F,4450,Divorce,Consulting,TechLead,1,5,4,2,4,4,2,1,3,3,3,Non,0.11,Non,2,3,13,2,TransformationDigitale,Occasionnel,1,3
33,F,2756,Marie,Consulting,AssistantdeDirection,1,8,8,7,4,3,1,2,4,3,3,Non,0.13,Non,1,5,14,3,TransformationDigitale,Occasionnel,1,6
40,F,19033,Marie,Consulting,SeniorManager,1,21,20,8,4,3,5,3,2,3,3,Non,0.14,Non,1,2,4,1,TransformationDigitale,Occasionnel,9,9
55,M,18722,Celibataire,Consulting,DirecteurTechnique,8,36,24,15,3,4,5,2,4,3,3,Non,0.11,Non,0,3,14,4,TransformationDigitale,Occasionnel,2,15
34,M,9547,Marie,Consulting,TechLead,1,10,10,9,4,2,2,3,3,2,3,Non,0.17,Non,0,2,2,1,InfraCloud,Frequent,1,9
51,F,13734,Celibataire,Consulting,Manager,3,21,7,7,4,3,4,2,3,3,3,Non,0.18,Non,0,6,3,3,TransformationDigitale,Occasionnel,1,0
52,M,19999,Marie,Consulting,SeniorManager,0,34,33,18,3,2,5,3,1,3,3,Non,0.14,Non,1,5,1,4,InfraCloud,Occasionnel,11,9
27,F,2279,Celibataire,Consulting,AssistantdeDirection,1,7,7,7,4,3,1,2,4,2,3,Non,0.16,Non,0,2,9,3,TransformationDigitale,Occasionnel,0,3
35,M,5916,Marie,Consulting,TechLead,3,8,1,0,2,2,2,3,1,3,3,Oui,0.13,Oui,0,1,23,2,InfraCloud,Occasionnel,0,1
43,M,2089,Divorce,Consulting,AssistantdeDirection,4,7,5,4,4,4,1,4,4,4,3,Non,0.14,Non,3,3,7,3,TransformationDigitale,Aucun,2,2
45,M,16792,Marie,Consulting,SeniorManager,9,22,20,8,1,2,4,4,4,3,4,Non,0.23,Non,1,1,2,2,TransformationDigitale,Aucun,11,8
37,M,3564,Marie,Consulting,AssistantdeDirection,1,8,8,7,2,4,1,1,1,2,3,Oui,0.12,Non,1,3,21,3,InfraCloud,Occasionnel,1,7
35,F,4425,Celibataire,Consulting,Consultant,5,10,6,2,2,3,2,2,4,3,3,Non,0.11,Non,0,5,2,3,TransformationDigitale,Frequent,1,2
42,F,5265,Divorce,Consulting,TechLead,2,11,5,3,3,3,2,3,2,3,3,Non,0.16,Non,1,5,21,2,TransformationDigitale,Aucun,0,2
38,M,6553,Marie,Consulting,TechLead,9,14,1,0,4,3,2,3,2,3,3,Non,0.14,Non,0,3,2,4,InfraCloud,Occasionnel,0,0
38,M,6261,Marie,Consulting,TechLead,3,9,7,7,4,3,2,4,1,1,3,Non,0.18,Non,1,3,29,3,Entrepreunariat,Occasionnel,1,7
27,M,4298,Marie,Consulting,TechLead,5,6,2,2,3,2,2,1,3,3,3,Non,0.19,Non,1,1,1,1,Entrepreunariat,Frequent,2,0
49,M,6804,Divorce,Consulting,TechLead,1,7,7,7,4,3,2,4,1,3,3,Oui,0.15,Non,2,0,18,4,InfraCloud,Aucun,1,7
34,M,3815,Divorce,Consulting,AssistantdeDirection,1,5,5,3,4,3,1,3,4,4,3,Oui,0.17,Non,1,4,10,4,TransformationDigitale,Frequent,2,0
40,M,2741,Marie,Consulting,Consultant,8,15,7,2,3,3,2,4,3,4,3,Oui,0.15,Non,1,2,19,2,TransformationDigitale,Occasionnel,3,7
38,M,6673,Marie,Consulting,Manager,7,17,1,0,2,3,2,1,2,3,3,Oui,0.19,Oui,0,2,29,1,TransformationDigitale,Occasionnel,0,0
29,F,7639,Marie,Commercial,CadreCommercial,1,10,10,4,2,3,3,4,4,2,4,Non,0.22,Oui,3,3,27,3,Marketing,Occasionnel,1,9
22,M,2328,Divorce,Consulting,AssistantdeDirection,1,4,4,2,4,4,1,2,1,2,3,Oui,0.16,Non,1,2,5,3,InfraCloud,Occasionnel,2,2
36,F,2153,Celibataire,Consulting,Consultant,1,8,8,1,2,3,1,4,1,3,3,Non,0.13,Non,0,2,18,1,TransformationDigitale,Frequent,1,7
40,M,4876,Marie,Consulting,Manager,9,5,3,2,4,2,2,4,4,1,3,Non,0.14,Non,1,5,9,5,InfraCloud,Aucun,0,2
46,M,9396,Divorce,Consulting,Manager,7,17,4,2,4,3,3,1,3,3,3,Non,0.16,Non,1,3,1,4,TransformationDigitale,Occasionnel,0,3
32,M,10400,Marie,Commercial,CadreCommercial,1,14,14,8,4,1,3,4,3,2,3,Non,0.11,Oui,0,2,4,4,TransformationDigitale,Occasionnel,9,8
30,M,8474,Celibataire,Consulting,TechLead,1,12,11,8,3,2,3,3,3,3,4,Non,0.22,Non,0,2,1,1,InfraCloud,Aucun,5,8
27,F,9981,Celibataire,Commercial,CadreCommercial,1,7,7,7,4,3,2,3,4,3,3,Non,0.14,Non,0,2,20,3,InfraCloud,Frequent,0,7
51,M,12490,Marie,Consulting,DirecteurTechnique,5,16,10,9,2,2,3,2,4,1,3,Non,0.16,Non,2,5,8,4,InfraCloud,Occasionnel,4,7
30,F,2657,Celibataire,Consulting,AssistantdeDirection,5,8,5,2,4,3,1,1,3,3,3,Oui,0.11,Oui,0,5,3,3,Entrepreunariat,Occasionnel,0,4
41,F,13591,Celibataire,Commercial,SeniorManager,3,16,1,0,4,3,3,4,3,3,3,Oui,0.18,Non,0,3,6,3,InfraCloud,Occasionnel,0,0
30,F,6696,Celibataire,Commercial,CadreCommercial,5,9,6,3,3,2,2,1,3,2,3,Non,0.15,Oui,0,5,26,4,Marketing,Frequent,0,1
29,M,2058,Celibataire,Consulting,AssistantdeDirection,0,7,6,2,3,3,1,3,4,2,3,Non,0.14,Oui,0,1,1,3,Entrepreunariat,Occasionnel,1,5
45,F,8865,Celibataire,Commercial,CadreCommercial,6,23,19,7,4,2,3,4,4,3,3,Non,0.12,Non,0,2,6,3,TransformationDigitale,Aucun,12,8
54,F,5940,Marie,Commercial,CadreCommercial,2,16,6,2,4,3,2,1,4,3,3,Non,0.14,Non,1,4,3,3,Marketing,Occasionnel,0,5
36,M,5914,Celibataire,Consulting,Consultant,8,16,13,11,4,3,2,2,4,4,3,Non,0.16,Non,0,3,5,2,InfraCloud,Occasionnel,3,7
33,F,2622,Marie,Consulting,AssistantdeDirection,6,7,3,2,3,2,1,2,4,3,4,Non,0.21,Non,0,3,4,4,TransformationDigitale,Occasionnel,1,1
37,M,12185,Divorce,Consulting,DirecteurTechnique,1,10,10,8,2,3,3,4,3,3,3,Oui,0.14,Non,3,1,11,3,Autre,Frequent,0,7
38,M,10609,Divorce,Commercial,CadreCommercial,0,17,16,10,1,3,3,3,3,2,3,Non,0.12,Non,2,6,3,3,InfraCloud,Occasionnel,5,13
31,M,4345,Marie,Consulting,TechLead,0,6,5,4,3,1,2,3,4,3,3,Non,0.12,Non,1,2,1,4,TransformationDigitale,Aucun,1,4
59,M,2177,Marie,Consulting,AssistantdeDirection,3,7,1,0,3,2,1,4,1,3,3,Non,0.17,Non,1,6,3,3,InfraCloud,Occasionnel,0,0
37,M,2793,Divorce,Commercial,ReprésentantCommercial,4,13,9,8,1,3,1,4,3,3,3,Non,0.17,Non,1,2,4,4,Marketing,Frequent,5,8
29,F,7918,Marie,Commercial,CadreCommercial,1,11,11,10,2,3,3,4,4,3,3,Non,0.14,Non,1,5,1,1,TransformationDigitale,Frequent,4,1
35,F,8789,Celibataire,Commercial,CadreCommercial,1,10,10,7,3,3,3,3,1,4,3,Non,0.14,Non,0,3,1,3,Marketing,Frequent,0,8
29,M,2389,Celibataire,Consulting,AssistantdeDirection,1,4,4,3,3,2,1,4,3,2,3,Oui,0.13,Oui,0,3,18,1,TransformationDigitale,Occasionnel,0,1
52,F,3212,Celibataire,Consulting,Consultant,7,6,2,2,3,2,1,4,2,2,3,Non,0.15,Non,0,3,2,3,InfraCloud,Occasionnel,2,2
42,M,19232,Marie,Consulting,SeniorManager,1,22,22,17,3,3,5,4,4,3,3,Non,0.11,Non,0,3,4,2,Entrepreunariat,Occasionnel,11,15
59,M,2267,Marie,RessourcesHumaines,RessourcesHumaines,8,7,2,2,2,3,1,3,4,2,3,Non,0.17,Non,0,2,6,2,TransformationDigitale,Occasionnel,2,2
50,F,19517,Divorce,Commercial,SeniorManager,3,32,7,0,4,3,5,4,3,2,3,Non,0.11,Non,1,3,1,4,TransformationDigitale,Occasionnel,0,6
33,M,2436,Marie,Consulting,Consultant,5,8,5,4,3,3,1,4,3,1,3,Oui,0.13,Oui,1,2,14,3,TransformationDigitale,Occasionnel,0,4
43,F,16064,Marie,Commercial,SeniorManager,5,22,17,13,4,3,4,4,3,3,4,Oui,0.22,Non,1,3,16,3,Marketing,Occasionnel,1,9
33,F,2707,Marie,Consulting,Consultant,7,13,9,7,1,3,1,1,1,4,4,Non,0.2,Oui,0,3,2,2,InfraCloud,Occasionnel,1,7
52,M,19068,Celibataire,Commercial,SeniorManager,1,33,33,7,1,2,5,3,4,4,3,Oui,0.18,Non,0,2,2,4,InfraCloud,Aucun,15,12
32,F,3931,Marie,Commercial,ReprésentantCommercial,2,6,4,3,3,3,1,2,1,3,3,Non,0.11,Non,1,5,4,2,InfraCloud,Occasionnel,1,2
32,M,3730,Celibataire,Consulting,Consultant,0,4,3,2,4,2,1,3,4,1,3,Oui,0.14,Oui,0,2,1,3,InfraCloud,Occasionnel,1,2
39,F,2232,Divorce,Consulting,Consultant,7,7,3,2,3,3,1,3,3,3,3,Non,0.14,Non,3,1,1,4,TransformationDigitale,Occasionnel,1,2
32,M,4465,Marie,Commercial,CadreCommercial,0,4,3,2,3,3,2,4,1,3,3,Non,0.18,Non,0,2,26,4,Marketing,Aucun,2,2
41,M,3072,Divorce,Consulting,AssistantdeDirection,2,17,1,0,3,3,2,1,1,2,3,Non,0.16,Non,2,2,19,2,InfraCloud,Occasionnel,0,0
40,M,3319,Divorce,Consulting,AssistantdeDirection,1,9,9,8,1,3,2,4,1,3,3,Non,0.17,Non,2,3,24,2,Entrepreunariat,Occasionnel,4,7
45,M,19202,Marie,Consulting,SeniorManager,0,25,24,0,3,4,5,4,3,3,3,Non,0.11,Non,1,2,1,3,Autre,Occasionnel,1,7
31,M,13675,Divorce,Consulting,DirecteurTechnique,9,9,2,2,2,3,3,3,1,3,3,Non,0.12,Non,1,3,3,4,TransformationDigitale,Frequent,2,2
33,F,2911,Marie,Consulting,AssistantdeDirection,1,2,2,2,3,2,1,4,3,2,3,Non,0.13,Non,1,2,5,4,InfraCloud,Occasionnel,0,2
34,M,5957,Marie,Consulting,TechLead,6,13,11,9,4,2,2,1,2,3,3,Non,0.13,Non,1,3,2,4,InfraCloud,Occasionnel,5,9
37,F,3920,Marie,Consulting,AssistantdeDirection,2,17,3,1,3,2,1,1,1,2,3,Non,0.14,Non,1,2,1,2,TransformationDigitale,Occasionnel,0,2
45,M,6434,Marie,Consulting,TechLead,4,9,3,2,1,4,2,3,4,3,3,Non,0.17,Non,1,1,7,4,InfraCloud,Frequent,0,2
37,M,10048,Divorce,Consulting,TechLead,6,17,1,0,1,3,3,3,2,3,3,Non,0.11,Oui,2,5,10,3,TransformationDigitale,Frequent,0,0
39,F,10938,Celibataire,Consulting,Manager,0,20,19,6,3,3,3,3,4,3,4,Non,0.25,Non,0,1,2,4,Entrepreunariat,Frequent,11,8
29,M,2340,Celibataire,Consulting,AssistantdeDirection,1,6,6,5,3,3,1,4,1,3,3,Non,0.19,Non,0,1,15,3,InfraCloud,Occasionnel,1,5
42,F,6545,Celibataire,Consulting,AssistantdeDirection,3,10,3,2,4,4,2,1,3,3,3,Oui,0.13,Non,0,1,17,2,InfraCloud,Occasionnel,0,2
29,M,6931,Divorce,Commercial,CadreCommercial,2,10,3,2,4,3,2,4,4,3,3,Non,0.14,Non,1,2,20,2,Marketing,Occasionnel,0,2
25,F,4898,Marie,Consulting,TechLead,0,5,4,2,1,3,2,3,4,3,3,Non,0.12,Non,2,3,1,3,InfraCloud,Occasionnel,1,2
42,F,2593,Divorce,Consulting,Consultant,0,10,9,6,4,2,1,1,3,3,3,Oui,0.11,Non,1,4,2,3,TransformationDigitale,Occasionnel,7,8
40,M,19436,Divorce,Consulting,DirecteurTechnique,0,22,21,7,1,3,5,3,4,3,3,Non,0.19,Non,1,5,2,2,TransformationDigitale,Occasionnel,3,9
51,M,2723,Marie,Consulting,AssistantdeDirection,1,1,1,0,3,3,1,4,2,2,3,Non,0.11,Non,0,0,1,3,InfraCloud,Occasionnel,0,0
31,M,3479,Celibataire,Consulting,Consultant,0,6,5,4,3,2,1,2,2,4,3,Non,0.11,Oui,0,2,29,2,TransformationDigitale,Frequent,1,4
32,M,2794,Marie,Consulting,Consultant,1,5,5,1,2,4,1,2,3,1,4,Non,0.2,Non,0,3,7,3,InfraCloud,Frequent,0,3
38,M,5249,Marie,Commercial,CadreCommercial,3,13,8,7,4,2,2,4,4,3,3,Non,0.18,Non,1,0,2,2,InfraCloud,Aucun,7,5
32,M,2176,Celibataire,Consulting,Consultant,4,9,6,2,4,2,2,1,4,3,3,Non,0.13,Non,0,5,2,1,Entrepreunariat,Occasionnel,0,4
46,F,16872,Marie,Commercial,SeniorManager,3,28,7,7,3,1,4,2,2,2,3,Oui,0.12,Non,1,2,2,3,Entrepreunariat,Occasionnel,7,7
28,M,3485,Celibataire,Consulting,Consultant,2,5,0,0,1,3,1,3,3,1,3,Non,0.11,Oui,0,5,2,4,InfraCloud,Occasionnel,0,0
29,M,6644,Marie,Commercial,CadreCommercial,2,10,0,0,1,2,2,2,2,3,3,Non,0.19,Non,2,2,2,3,TransformationDigitale,Occasionnel,0,0
31,M,5582,Marie,Consulting,Manager,0,10,9,0,2,2,2,4,2,3,4,Non,0.21,Non,1,2,23,3,TransformationDigitale,Occasionnel,7,8
25,M,4000,Divorce,Consulting,Manager,1,6,6,3,2,4,2,1,4,3,3,Non,0.12,Non,2,2,5,2,InfraCloud,Aucun,1,5
45,M,13496,Marie,Consulting,Manager,0,21,20,7,3,3,4,4,2,3,3,Oui,0.14,Non,0,2,20,2,TransformationDigitale,Occasionnel,4,10
36,M,3210,Marie,Consulting,Consultant,0,16,15,13,4,3,1,4,3,3,3,Non,0.11,Non,1,4,6,3,InfraCloud,Occasionnel,10,11
55,M,19045,Celibataire,Consulting,SeniorManager,0,37,36,10,4,3,5,1,3,3,3,Oui,0.14,Non,0,2,1,3,TransformationDigitale,Occasionnel,4,13
47,M,11849,Marie,Consulting,SeniorManager,1,10,10,7,1,3,3,2,4,2,3,Oui,0.12,Oui,1,2,29,4,InfraCloud,Aucun,9,9
28,M,2070,Marie,Consulting,AssistantdeDirection,1,5,5,2,4,3,1,4,4,2,4,Non,0.23,Non,1,3,9,3,TransformationDigitale,Occasionnel,0,4
37,M,6502,Marie,Commercial,CadreCommercial,4,7,5,4,3,3,2,4,2,4,3,Non,0.14,Non,1,5,6,4,TransformationDigitale,Occasionnel,0,1
21,M,3230,Celibataire,Consulting,AssistantdeDirection,1,3,3,2,4,2,1,3,1,4,3,Non,0.17,Non,0,4,3,2,TransformationDigitale,Occasionnel,1,0
37,F,13603,Divorce,Consulting,DirecteurTechnique,2,15,5,2,1,3,3,4,1,3,3,Oui,0.18,Non,2,2,1,4,TransformationDigitale,Aucun,0,2
35,F,11996,Divorce,Consulting,SeniorManager,7,10,7,7,2,4,3,2,2,2,3,Non,0.18,Non,1,6,22,3,InfraCloud,Occasionnel,6,2
38,F,5605,Divorce,Commercial,CadreCommercial,1,8,8,0,1,4,2,1,3,3,4,Oui,0.24,Non,1,3,7,2,TransformationDigitale,Occasionnel,7,7
26,F,6397,Divorce,Consulting,TechLead,1,6,6,5,3,3,2,2,1,1,4,Non,0.2,Non,1,6,1,3,InfraCloud,Frequent,1,4
50,M,19144,Divorce,Consulting,DirecteurTechnique,3,28,10,4,1,3,5,2,1,2,3,Non,0.14,Non,2,4,4,1,InfraCloud,Occasionnel,1,6
53,M,17584,Marie,Consulting,DirecteurTechnique,3,21,5,3,3,3,4,3,4,2,3,Oui,0.16,Non,3,5,3,4,TransformationDigitale,Occasionnel,1,3
42,M,4907,Marie,Commercial,CadreCommercial,1,20,20,16,2,3,2,3,3,3,4,Non,0.25,Non,0,3,1,1,InfraCloud,Occasionnel,11,6
29,M,4554,Celibataire,Commercial,CadreCommercial,1,10,10,7,2,3,2,4,1,2,3,Non,0.18,Non,0,3,2,2,InfraCloud,Frequent,0,9
55,M,5415,Marie,Consulting,Consultant,3,12,10,7,2,3,2,4,4,3,3,Oui,0.19,Non,1,4,20,2,Entrepreunariat,Occasionnel,0,8
26,M,4741,Marie,Consulting,Manager,1,5,5,3,1,3,2,1,3,3,3,Oui,0.13,Non,1,3,11,2,TransformationDigitale,Frequent,3,3
37,F,2115,Celibataire,Consulting,AssistantdeDirection,1,17,17,12,4,3,1,4,2,3,3,Non,0.12,Non,0,3,1,3,InfraCloud,Occasionnel,5,7
44,M,3161,Divorce,Consulting,Consultant,3,19,1,0,4,3,1,3,4,1,4,Oui,0.22,Oui,1,0,24,3,InfraCloud,Frequent,0,0
38,M,5745,Divorce,Consulting,Manager,9,10,2,2,4,3,2,4,2,3,3,Non,0.14,Non,1,2,23,4,InfraCloud,Occasionnel,1,2
26,M,2373,Divorce,Consulting,Consultant,2,5,3,2,1,3,1,2,4,3,3,Oui,0.13,Oui,1,2,16,4,TransformationDigitale,Occasionnel,0,2
28,F,3310,Celibataire,Consulting,AssistantdeDirection,1,5,5,3,4,3,1,4,4,3,4,Non,0.21,Non,0,3,8,2,InfraCloud,Occasionnel,0,2
49,F,18665,Celibataire,Consulting,DirecteurTechnique,9,22,3,2,3,3,5,1,4,3,3,Oui,0.11,Non,0,4,10,4,InfraCloud,Frequent,1,2
36,M,4485,Celibataire,Consulting,AssistantdeDirection,4,10,8,0,3,3,2,2,4,3,3,Non,0.12,Non,0,2,3,3,Entrepreunariat,Occasionnel,7,7
31,F,2789,Divorce,Commercial,ReprésentantCommercial,1,2,2,2,4,3,1,2,3,2,3,Non,0.11,Non,1,5,5,3,Marketing,Frequent,2,2
26,M,5828,Celibataire,Commercial,CadreCommercial,1,8,8,7,4,2,2,4,2,3,3,Oui,0.12,Oui,0,0,4,4,Marketing,Occasionnel,7,4
37,M,2326,Marie,Consulting,AssistantdeDirection,1,4,4,2,2,3,1,4,3,2,3,Oui,0.12,Non,3,3,9,3,TransformationDigitale,Frequent,1,2
42,F,13525,Marie,Commercial,CadreCommercial,5,23,20,4,3,3,4,2,4,4,3,Non,0.14,Non,1,2,26,3,Marketing,Frequent,4,8
18,M,1420,Celibataire,Consulting,Consultant,1,0,0,0,3,3,1,3,3,3,3,Non,0.13,Oui,0,2,3,3,InfraCloud,Occasionnel,0,0
35,M,8020,Marie,Commercial,CadreCommercial,0,12,11,9,3,3,3,2,3,2,3,Non,0.15,Non,2,3,16,3,Marketing,Occasionnel,6,9
36,M,3688,Marie,Consulting,Consultant,4,4,1,0,3,4,1,4,4,3,3,Non,0.18,Non,2,2,18,4,InfraCloud,Frequent,0,0
51,M,5482,Divorce,Consulting,TechLead,5,13,4,1,4,1,2,2,4,3,3,Non,0.18,Non,1,3,2,3,TransformationDigitale,Occasionnel,1,2
41,M,16015,Celibataire,Commercial,SeniorManager,1,22,22,10,4,3,4,2,2,3,3,Non,0.19,Non,0,2,2,4,InfraCloud,Occasionnel,0,4
18,F,1200,Celibataire,Commercial,ReprésentantCommercial,1,0,0,0,4,2,1,3,1,3,3,Non,0.12,Non,0,2,10,3,TransformationDigitale,Occasionnel,0,0
28,M,5661,Celibataire,Consulting,Manager,0,9,8,3,2,4,2,1,3,3,3,Non,0.19,Non,0,2,16,2,TransformationDigitale,Occasionnel,0,7
31,M,6929,Marie,Commercial,CadreCommercial,4,10,8,7,2,4,2,4,2,2,3,Non,0.11,Non,1,3,7,3,Entrepreunariat,Occasionnel,7,7
39,M,9613,Divorce,Consulting,Manager,0,19,18,10,3,4,3,4,1,2,3,Non,0.17,Non,3,5,1,3,TransformationDigitale,Occasionnel,3,7
36,F,5674,Marie,Consulting,Consultant,7,11,9,8,2,3,2,2,3,3,3,Non,0.15,Non,1,3,24,4,InfraCloud,Aucun,0,8
32,M,5484,Marie,Commercial,CadreCommercial,1,13,13,8,4,2,2,3,3,2,3,Non,0.14,Non,1,3,7,3,InfraCloud,Occasionnel,4,8
38,F,12061,Marie,Consulting,DirecteurTechnique,3,19,10,8,1,2,3,2,3,3,3,Non,0.17,Non,1,2,25,2,InfraCloud,Occasionnel,0,1
58,M,5660,Divorce,Consulting,Manager,2,12,5,3,4,1,2,3,4,3,3,Oui,0.13,Non,1,2,1,4,InfraCloud,Aucun,1,2
31,M,4821,Marie,Consulting,AssistantdeDirection,0,6,5,2,3,3,1,4,3,3,3,Oui,0.12,Non,1,4,5,4,Entrepreunariat,Occasionnel,0,3
31,M,6410,Marie,RessourcesHumaines,RessourcesHumaines,3,9,2,2,1,2,2,1,4,3,3,Non,0.12,Non,0,1,2,3,RessourcesHumaines,Occasionnel,1,0
45,M,5210,Divorce,Consulting,Consultant,1,24,24,9,1,3,3,1,1,3,3,Non,0.18,Non,1,2,7,3,InfraCloud,Frequent,9,11
31,M,2695,Divorce,Consulting,AssistantdeDirection,0,3,2,2,3,3,1,4,2,1,3,Oui,0.18,Non,1,2,2,4,InfraCloud,Occasionnel,2,2
33,F,11878,Marie,Consulting,SeniorManager,6,12,10,6,4,3,3,2,2,3,3,Non,0.11,Non,2,2,5,4,InfraCloud,Frequent,8,8
39,M,17068,Marie,Consulting,SeniorManager,1,21,21,9,3,3,4,1,4,3,3,Oui,0.14,Non,0,3,10,1,TransformationDigitale,Occasionnel,11,10
43,F,2455,Celibataire,Consulting,Consultant,0,9,8,7,3,3,1,4,1,3,3,Non,0.19,Non,0,5,10,4,InfraCloud,Frequent,1,7
49,F,13964,Celibataire,Consulting,Manager,7,25,7,1,3,2,4,3,4,3,3,Oui,0.12,Non,0,2,1,2,Entrepreunariat,Occasionnel,0,7
52,M,4941,Marie,Consulting,AssistantdeDirection,2,11,8,2,3,2,2,2,1,2,3,Non,0.15,Oui,0,3,8,4,TransformationDigitale,Occasionnel,7,7
27,F,2478,Celibataire,Consulting,AssistantdeDirection,1,4,4,3,3,3,1,2,2,2,3,Oui,0.12,Non,0,2,5,3,InfraCloud,Occasionnel,1,2
32,F,5228,Marie,Commercial,CadreCommercial,1,13,13,12,3,2,2,2,4,3,3,Oui,0.11,Non,0,2,8,2,Entrepreunariat,Occasionnel,11,9
27,M,4478,Celibataire,Commercial,CadreCommercial,1,5,5,4,4,3,2,3,1,3,3,Oui,0.11,Non,0,3,2,3,InfraCloud,Occasionnel,0,4
31,M,7547,Divorce,Commercial,CadreCommercial,4,13,7,7,4,3,2,4,4,3,3,Non,0.12,Non,3,3,7,3,Marketing,Occasionnel,1,7
32,F,5055,Celibataire,Consulting,AssistantdeDirection,7,10,7,7,1,4,2,4,3,2,3,Non,0.16,Non,0,0,2,4,TransformationDigitale,Occasionnel,0,7
28,M,3464,Marie,Consulting,AssistantdeDirection,5,5,3,2,1,1,1,4,4,2,3,Oui,0.13,Oui,0,4,2,4,TransformationDigitale,Occasionnel,2,2
30,F,5775,Marie,Consulting,AssistantdeDirection,1,11,10,8,4,3,2,4,4,3,3,Non,0.13,Non,2,2,28,2,TransformationDigitale,Occasionnel,1,9
31,F,8943,Marie,Consulting,TechLead,1,10,10,9,3,2,3,3,1,3,4,Non,0.24,Non,1,2,7,2,InfraCloud,Frequent,8,9
